GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Rides24,com.objectdb.o,QUE,118,0,12,0,24,0,13,0,7,0
Rides24,com.objectdb.o,QUD,252,0,22,0,65,0,28,0,17,0
Rides24,com.objectdb.o,SYH,541,0,54,0,148,0,60,0,33,0
Rides24,com.objectdb.o,QSP,737,0,130,0,239,0,105,0,21,0
Rides24,com.objectdb.o,_QueryTimeoutException,27,0,0,0,10,0,5,0,5,0
Rides24,com.objectdb.o,PHL,488,0,90,0,147,0,64,0,19,0
Rides24,com.objectdb.o,DCE.V,92,0,12,0,15,0,15,0,9,0
Rides24,com.objectdb.o,TPL,89,0,6,0,18,0,12,0,9,0
Rides24,com.objectdb.o,CNP,330,0,32,0,71,0,30,0,14,0
Rides24,com.objectdb.o,ERR,264,0,22,0,65,0,19,0,8,0
Rides24,com.objectdb.o,TPE,21,0,0,0,8,0,4,0,4,0
Rides24,com.objectdb.o,CNV,34,0,2,0,10,0,3,0,2,0
Rides24,com.objectdb.o,CNU,452,0,52,0,107,0,45,0,19,0
Rides24,com.objectdb.o,PGT,270,0,36,0,80,0,23,0,5,0
Rides24,com.objectdb.o,_JdoObjectNotFoundException,35,0,0,0,13,0,6,0,6,0
Rides24,com.objectdb.o,OIdentityHashMap.z,56,0,2,0,14,0,8,0,7,0
Rides24,com.objectdb.o,ERM,65,0,10,0,16,0,7,0,2,0
Rides24,com.objectdb.o,PGW,1184,0,120,0,293,0,81,0,21,0
Rides24,com.objectdb.o,CNN,12,0,0,0,4,0,2,0,2,0
Rides24,com.objectdb.o,CNM,687,0,78,0,151,0,52,0,13,0
Rides24,com.objectdb.o,InvToOneLoadRequest,3,0,0,0,1,0,1,0,1,0
Rides24,com.objectdb.o,VST,71,0,4,0,19,0,8,0,6,0
Rides24,com.objectdb.o,ERF,101,0,16,0,26,0,10,0,2,0
Rides24,com.objectdb.o,TOT,104,0,6,0,32,0,20,0,17,0
Rides24,com.objectdb.o,CMV,507,0,56,0,112,0,45,0,17,0
Rides24,com.objectdb.o,PGC,909,0,96,0,222,0,70,0,22,0
Rides24,com.objectdb.o,VSL,605,0,150,0,139,0,90,0,15,0
Rides24,com.objectdb.o,PGE,821,0,46,0,162,0,40,0,17,0
Rides24,com.objectdb.o,TOL,97,0,14,0,39,0,20,0,13,0
Rides24,com.objectdb.o,VSP,49,0,6,0,21,0,16,0,13,0
Rides24,com.objectdb.o,CMN,323,0,71,0,85,0,51,0,8,0
Rides24,com.objectdb.o,EQP,337,0,36,0,75,0,29,0,11,0
Rides24,com.objectdb.o,AIS,84,0,6,0,19,0,9,0,6,0
Rides24,com.objectdb.o,EQI,9,0,0,0,4,0,4,0,4,0
Rides24,com.objectdb.o,PFT,147,0,18,0,27,0,14,0,5,0
Rides24,com.objectdb.o,VRS,226,0,28,0,62,0,31,0,17,0
Rides24,com.objectdb.o,VRN,55,0,2,0,13,0,7,0,6,0
Rides24,com.objectdb.o,CLN,16,0,2,0,6,0,3,0,2,0
Rides24,com.objectdb.o,IXS,154,0,12,0,42,0,12,0,6,0
Rides24,com.objectdb.o,EPR,91,0,18,0,22,0,11,0,2,0
Rides24,com.objectdb.o,CLT,503,0,70,0,122,0,50,0,15,0
Rides24,com.objectdb.o,CLS,474,0,36,0,114,0,33,0,15,0
Rides24,com.objectdb.o,IXN,632,0,98,0,131,0,65,0,16,0
Rides24,com.objectdb.o,EPI,42,0,4,0,12,0,5,0,3,0
Rides24,com.objectdb.o,IXM,1093,0,119,0,223,0,85,0,25,0
Rides24,com.objectdb.o,PGW.aE,37,0,0,0,8,0,1,0,1,0
Rides24,com.objectdb.o,IXR,16,0,0,0,7,0,3,0,3,0
Rides24,com.objectdb.o,NAV,129,0,2,0,30,0,13,0,12,0
Rides24,com.objectdb.o,IXD,514,0,50,0,120,0,53,0,28,0
Rides24,com.objectdb.o,IXF,50,0,0,0,9,0,5,0,5,0
Rides24,com.objectdb.o,CLC,130,0,8,0,26,0,10,0,6,0
Rides24,com.objectdb.o,VQI,156,0,16,0,39,0,14,0,6,0
Rides24,com.objectdb.o,AGN,169,0,18,0,42,0,24,0,13,0
Rides24,com.objectdb.o,RPR,251,0,16,0,76,0,19,0,11,0
Rides24,com.objectdb.o,CSF,100,0,8,0,20,0,8,0,4,0
Rides24,com.objectdb.o,RPT,191,0,18,0,51,0,19,0,10,0
Rides24,com.objectdb.o,LDR,1579,0,190,0,426,0,134,0,39,0
Rides24,com.objectdb.o,RPM,524,0,60,0,114,0,44,0,14,0
Rides24,com.objectdb.o,PLL,211,0,34,0,49,0,28,0,11,0
Rides24,com.objectdb.o,PLN,381,0,46,0,112,0,52,0,29,0
Rides24,com.objectdb.o,ANT,1415,0,190,0,319,0,132,0,37,0
Rides24,com.objectdb.o,ANI,49,0,4,0,19,0,6,0,4,0
Rides24,com.objectdb.o,ANN,72,0,14,0,22,0,11,0,4,0
Rides24,com.objectdb.o,ANM,842,0,154,0,228,0,126,0,49,0
Rides24,com.objectdb.o,ANP,78,0,0,0,14,0,6,0,6,0
Rides24,com.objectdb.o,NGP,44,0,2,0,12,0,4,0,3,0
Rides24,com.objectdb.o,ANF,138,0,26,0,32,0,20,0,7,0
Rides24,com.objectdb.o,EVI,7,0,0,0,2,0,2,0,2,0
Rides24,com.objectdb.o,ROW,105,0,14,0,30,0,19,0,12,0
Rides24,com.objectdb.o,TSK,136,0,20,0,50,0,22,0,12,0
Rides24,com.objectdb.o,TSM,123,0,14,0,35,0,10,0,3,0
Rides24,com.objectdb.o,ROM,337,0,38,0,79,0,33,0,14,0
Rides24,com.objectdb.o,PKN,64,0,8,0,14,0,9,0,5,0
Rides24,com.objectdb.o,EVC,190,0,18,0,48,0,17,0,8,0
Rides24,com.objectdb.o,PKE,47,0,6,0,15,0,5,0,2,0
Rides24,com.objectdb.o,TRS,307,0,40,0,81,0,29,0,9,0
Rides24,com.objectdb.o,NFL,112,0,20,0,33,0,18,0,8,0
Rides24,com.objectdb.o,CQI,50,0,4,0,16,0,6,0,4,0
Rides24,com.objectdb.o,TRB,78,0,2,0,16,0,6,0,5,0
Rides24,com.objectdb.o,ALS,566,0,50,0,119,0,57,0,32,0
Rides24,com.objectdb.o,TRF,192,0,36,0,54,0,30,0,10,0
Rides24,com.objectdb.o,PIX,21,0,2,0,8,0,3,0,2,0
Rides24,com.objectdb.o,ETM,56,0,6,0,15,0,9,0,6,0
Rides24,com.objectdb.o,ETR,22,0,2,0,7,0,3,0,2,0
Rides24,com.objectdb.o,VUT,1360,0,203,0,318,0,197,0,20,0
Rides24,com.objectdb.o,LAL,223,0,16,0,45,0,22,0,14,0
Rides24,com.objectdb.o,TQI,32,0,4,0,13,0,6,0,4,0
Rides24,com.objectdb.o,_JdoUserCallbackException,26,0,0,0,10,0,5,0,5,0
Rides24,com.objectdb.o,EST,172,0,26,0,47,0,23,0,10,0
Rides24,com.objectdb.o,ESW,50,0,4,0,14,0,8,0,6,0
Rides24,com.objectdb.o,ESV,59,0,0,0,16,0,8,0,8,0
Rides24,com.objectdb.o,RMF,322,0,46,0,84,0,43,0,20,0
Rides24,com.objectdb.o,VLS,85,0,6,0,17,0,9,0,6,0
Rides24,com.objectdb.o,VLR,55,0,8,0,18,0,11,0,7,0
Rides24,com.objectdb.o,VLT,226,0,20,0,55,0,22,0,12,0
Rides24,com.objectdb.o,VLV,473,0,52,0,109,0,38,0,12,0
Rides24,com.objectdb.o,ServerTrayIcon,375,0,24,0,83,0,18,0,6,0
Rides24,com.objectdb.o,CFO,30,0,2,0,10,0,7,0,6,0
Rides24,com.objectdb.o,CFT,78,0,8,0,16,0,8,0,4,0
Rides24,com.objectdb.o,ABT,347,0,40,0,69,0,63,0,43,0
Rides24,com.objectdb.o,CFG,1237,0,146,0,290,0,107,0,33,0
Rides24,com.objectdb.o,AGN.aM,94,0,12,0,25,0,11,0,5,0
Rides24,com.objectdb.o,GND,236,0,14,0,60,0,22,0,15,0
Rides24,com.objectdb.o,RCN,82,0,2,0,23,0,16,0,15,0
Rides24,com.objectdb.o,AGN.aN,128,0,16,0,31,0,12,0,4,0
Rides24,com.objectdb.o,AGN.aO,147,0,12,0,34,0,11,0,5,0
Rides24,com.objectdb.o,AGN.aP,151,0,22,0,43,0,16,0,5,0
Rides24,com.objectdb.o,RCO,86,0,2,0,25,0,9,0,8,0
Rides24,com.objectdb.o,OsHelper,262,0,18,0,61,0,28,0,19,0
Rides24,com.objectdb.o,EIX,159,0,14,0,44,0,11,0,4,0
Rides24,com.objectdb.o,IRB,31,0,2,0,10,0,5,0,4,0
Rides24,com.objectdb.o,RCL,312,0,22,0,76,0,21,0,10,0
Rides24,com.objectdb.o,EIV,77,0,4,0,19,0,10,0,8,0
Rides24,com.objectdb.o,AGN.aQ,25,0,4,0,7,0,5,0,3,0
